Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Generic Job Title,Professional/ Occupational Group,Payscale Minimum (£),Payscale Maximum (£),Number of Posts in FTE
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,HEO,Operation Delivery.Admin Officer,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,HEO,Operation Delivery.Business Manager,Operational Delivery,23647,41485,3
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,HEO,Operation Delivery.Court Manager,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,HEO,Operation Delivery.Team Manager,Operational Delivery,23647,41485,6.6081
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Law.Legal Adviser,Legal,30531,53768,20.91893
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Operation Delivery.Admin Officer,Operational Delivery,30531,53768,1.8
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Operation Delivery.Court Manager,Operational Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Operation Delivery.Legal Adviser - Trainee,Operational Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Operation Delivery.Team Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Operational Support.,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Other.Lean,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS36,SEO,Other.Legal Adviser,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,"CT Devon, Cornwall, Dorset Cluster",HMCTS43,G7,Operation Delivery.Senior Manager,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS16,AA,Operation Delivery.Court Usher,Operational Delivery,15511,20195,3.22162
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS16,AA,Operation Delivery.Usher,Operational Delivery,15511,20195,10.47298
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS16,AA,Other.Usher,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS16,AO,Operation Delivery.Admin Assistant,Operational Delivery,18514,24519,0.94595
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS16,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,5.64865
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS16,AO,Operation Delivery.Court Officer,Operational Delivery,18514,24519,0.60811
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS40,G7,Operation Delivery.Legal Adviser,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS43,G7,Operation Delivery.Business Manager,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AA,Operation Delivery.Admin Assistant,Operational Delivery,15511,20195,9.36487
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AA,Operation Delivery.Court Admin,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AA,Operation Delivery.Usher,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Administration - General.,Operational Delivery,18514,24519,1.87838
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Law.Admin Officer,Operational Delivery,18514,24519,0.89108
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Operation Delivery.Admin Assistant,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,136.74886
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Operation Delivery.Bailiff,Operational Delivery,18514,24519,16.06648
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Operation Delivery.Case Progression Officer,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Operation Delivery.Court Admin,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Operation Delivery.Court Officer,Operational Delivery,18514,24519,4
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Operation Delivery.Finance,Operational Delivery,18514,24519,1.77027
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,AO,Other.Admin Officer,Operational Delivery,18514,24519,6.6919
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,EO,Operation Delivery.Bailiff Manager,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,21.75135
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,EO,Operation Delivery.Team Manager,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,EO,Other.Team Leader/Supervisor,Operational Delivery,20755,32600,1.81081
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,G7,Operation Delivery.Team Manager,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,HEO,Operation Delivery.Business Support,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,HEO,Operation Delivery.Case Progression Officer,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,HEO,Operation Delivery.Court Manager,Operational Delivery,23647,41485,0.86297
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,HEO,Operation Delivery.Facilities,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,HEO,Operation Delivery.Head of Section,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,HEO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,HEO,Operation Delivery.Team Manager,Operational Delivery,23647,41485,4.8
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,SEO,Operation Delivery.Business Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,SEO,Operation Delivery.Legal Adviser,Operational Delivery,30531,53768,0.6
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,HMCTS74,SEO,Operation Delivery.Senior Manager,Operational Delivery,30531,53768,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,JPSCG29,EO,Operation Delivery.Senior Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester CF & T Cluster,JPSCG29,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS43,G7,Operation Delivery.Business Manager,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Administration - General.,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Law.Court Usher,Operational Delivery,15511,20195,0.8
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Law.Usher,Operational Delivery,15511,20195,1.81081
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Operation Delivery.Admin Assistant,Operational Delivery,15511,20195,2.6
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Operation Delivery.Admin Officer,Operational Delivery,15511,20195,1.79351
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Operation Delivery.Court Officer,Operational Delivery,15511,20195,0.81081
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Operation Delivery.Court Usher,Operational Delivery,15511,20195,15.91973
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Operation Delivery.Messenger,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Operation Delivery.Usher,Operational Delivery,15511,20195,17.69188
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Other.Admin Officer,Operational Delivery,15511,20195,0.72973
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Other.Court Usher,Operational Delivery,15511,20195,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AA,Other.Usher,Operational Delivery,15511,20195,5.48649
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Administration - General.,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Law.Admin Officer,Operational Delivery,18514,24519,3
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Law.Team Leader/Supervisor,Operational Delivery,18514,24519,0.56081
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Admin Assistant,Operational Delivery,18514,24519,3.05405
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,54.77902
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Court Admin,Operational Delivery,18514,24519,4.41081
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Court Officer,Operational Delivery,18514,24519,7.92209
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Court Usher,Operational Delivery,18514,24519,1.8
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Finance,Operational Delivery,18514,24519,0.68966
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Performance,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Personal Secretary,Operational Delivery,18514,24519,1.4
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Telephonist,Operational Delivery,18514,24519,0.59784
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Operation Delivery.Usher,Operational Delivery,18514,24519,2.93216
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Other.Admin Officer,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,AO,Other.Court Admin,Operational Delivery,18514,24519,0.37838
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Administration - General.,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Law.Court Admin,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Law.Court Officer,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Admin Assistant,Operational Delivery,20755,32600,0.74483
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Admin Officer,Operational Delivery,20755,32600,0.82759
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Case Progression Officer,Operational Delivery,20755,32600,0.43243
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Court Admin,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Court Officer,Operational Delivery,20755,32600,11.05189
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Judges Clerk,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Justices' Clerk,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Personal Secretary,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Secretary,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,39.74595
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Operation Delivery.Team Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Other.Business Support,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Other.Case Progression Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Other.Court Officer,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,EO,Other.Team Leader/Supervisor,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,G7,Law.Deputy Justices' Clerk,Operational Delivery,43038,80756,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,G7,Law.Legal Adviser,Legal,43038,80756,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,G7,Law.Team Manager,Operational Delivery,43038,80756,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,G7,Operation Delivery.Legal Adviser,Operational Delivery,43038,80756,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Law.Legal Adviser - Trainee,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Operation Delivery.Admin Assistant,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Operation Delivery.Business Manager,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Operation Delivery.Court Admin,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Operation Delivery.Court Manager,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Operation Delivery.Performance,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Operation Delivery.Team Manager,Operational Delivery,23647,41485,7.62162
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,HEO,Other.Court Officer,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Law.Lawyer,Operational Delivery,30531,53768,0.8
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Law.Legal Adviser,Legal,30531,53768,41.09678
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operation Delivery.Admin Officer,Operational Delivery,30531,53768,3
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operation Delivery.Business Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operation Delivery.Court Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operation Delivery.Legal Adviser,Operational Delivery,30531,53768,1.78378
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operation Delivery.Legal Adviser - Trainee,Operational Delivery,30531,53768,1.2
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operation Delivery.Senior Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operation Delivery.Team Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,CT Greater Manchester Crime Cluster,HMCTS74,SEO,Operational Support.,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS17,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS2,AO,Administration - General.,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Administration - General.,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Admin Assistant,Operational Delivery,15511,20195,12.25702
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Admin Officer,Operational Delivery,15511,20195,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Caretaker,Operational Delivery,15511,20195,1.54054
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Court Officer,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Court Usher,Operational Delivery,15511,20195,19.32162
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Enforcement,Operational Delivery,15511,20195,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Scheduled Usher,Operational Delivery,15511,20195,1.5
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Operation Delivery.Usher,Operational Delivery,15511,20195,15.83137
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Other.Court Usher,Operational Delivery,15511,20195,3.21081
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AA,Other.Usher,Operational Delivery,15511,20195,7.81081
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Administration - General.,Operational Delivery,18514,24519,6.86486
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Law.Admin Officer,Operational Delivery,18514,24519,1.64865
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Law.Bailiff,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Law.Court Admin,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Admin Assistant,Operational Delivery,18514,24519,3.02783
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,111.29162
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Bailiff,Operational Delivery,18514,24519,9.44865
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Business Manager,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Case Progression Officer,Operational Delivery,18514,24519,5.27028
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Court Admin,Operational Delivery,18514,24519,10.32432
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Court Usher,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Secretary,Operational Delivery,18514,24519,1.03729
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Operational Support.,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Other.Admin Assistant,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Other.Admin Officer,Operational Delivery,18514,24519,5.2973
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Other.Bailiff,Operational Delivery,18514,24519,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,AO,Other.Court Admin,Operational Delivery,18514,24519,0.39189
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Law.Business Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Law.Court Admin,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Law.Team Leader/Supervisor,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Law.Team Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Bailiff,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Business Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Case Progression Officer,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Court Admin,Operational Delivery,20755,32600,1.81081
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Court Manager,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Court Officer,Operational Delivery,20755,32600,2.54054
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Customer Service,Operational Delivery,20755,32600,0.43243
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Enforcement,Operational Delivery,20755,32600,0.64865
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Judges Clerk,Operational Delivery,20755,32600,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Team Leader/Supervisor,Operational Delivery,20755,32600,28.65136
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Operation Delivery.Team Manager,Operational Delivery,20755,32600,3.54054
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,EO,Other.Team Leader/Supervisor,Operational Delivery,20755,32600,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,G7,Law.Deputy Justices' Clerk,Operational Delivery,43038,80756,3
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,G7,Law.Legal Adviser,Legal,43038,80756,3
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,G7,Law.Team Leader/Supervisor,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,G7,Law.Team Manager,Operational Delivery,43038,80756,3
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,HEO,Administration - General.,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,HEO,Operation Delivery.Business Manager,Operational Delivery,23647,41485,4
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,HEO,Operation Delivery.Court Manager,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,HEO,Operation Delivery.Team Manager,Operational Delivery,23647,41485,2
Ministry of Justice,AGY - HMCTS,"CT Hampshire, Wiltshire, IOW Cluster",HMCTS36,SEO,Law.Legal Adviser,Legal,30531,53768,30.43785
